No. ,Resource Type,Name ,Latitude ,Longitude ,Stone ,Main period ,State,Pharaoh,Ancient name,Modern name,Dynasty,Site,Base1 (m),Base2 (m),Height (m),Slope (dec degr),Volume (cu.m),Type,Lepsius,Material,Comment
L36 ,Limestone,Deir el-Amir Tadros ,27.37951,30.95783,Limestone,P ,3,,,,,,,,,,,,,,
L37 ,Limestone,Deir Abu Mina ,27.35667,31.01467,Limestone,U ,3,,,,,,,,,,,,,,
L38 ,Limestone,el-Maabda ,27.34533,31.02833,Limestone,U ,3,,,,,,,,,,,,,,
L39 ,Limestone,Deir el-Gabrawi ,27.33883,31.10317,Limestone,P ,3,,,,,,,,,,,,,,
L40 ,Limestone,el-Ketf ,27.32667,31.04801,Limestone,P ,2,,,,,,,,,,,,,,
L41 ,Limestone,Arab el-Atiat ,27.33451,31.06617,Limestone,P ,2,,,,,,,,,,,,,,
L42 ,Limestone,Talet el-Hagar ,27.28951,31.30083,Limestone,U ,2,,,,,,,,,,,,,,
L43 ,Limestone,Assiut / el-Izam ,27.15417,31.14833,Limestone,U ,2,,,,,,,,,,,,,,
L44 ,Limestone,Assiut / Drunka ,27.15601,31.17583,Limestone,P ,3,,,,,,,,,,,,,,
L45 ,Limestone,el-Aldra Maryam/Deir Drunka ,27.10333,31.17033,Limestone,P ,2,,,,,,,,,,,,,,
L46 ,Limestone,Deir Rifa ,27.07583,31.18333,Limestone,P ,2,,,,,,,,,,,,,,
L47,Limestone, Sidi Abu el-Haris ,27.04501,31.22651,Limestone,U ,2,,,,,,,,,,,,,,
L48 ,Limestone,Sidi Abu el-Haris tomb / Deir el-Bileida ,27.03967,31.22867,Limestone,U ,2,,,,,,,,,,,,,,
L49 ,Limestone,Deir el-Bileida ,27.03251,31.23251,Limestone,U ,2,,,,,,,,,,,,,,
L50 ,Limestone,el-Balyza ,27.02151,31.23951,Limestone,U ,2,,,,,,,,,,,,,,
L51 ,Limestone,el-Balyza / Abu Khurs ,27.00667,31.24451,Limestone,U ,2,,,,,,,,,,,,,,
L52 ,Limestone,el-Abu Khurs / el-Zaraby ,26.98667,31.24851,Limestone,U ,2,,,,,,,,,,,,,,
L53 ,Limestone,el-Zaraby ,26.97417,31.25001,Limestone,P ,2,,,,,,,,,,,,,,
L54 ,Limestone,el-Adra Maryam ,26.92717,31.28317,Limestone,P ,3,,,,,,,,,,,,,,
